id	geometry
0	LINESTRING(10.51159733 63.33517676,10.51283565 63.33414813,10.51342972 63.33361826,10.51630881 63.33257407,10.51903511 63.33122403,10.51332106 63.33852671,10.51336224 63.33852729,10.51337493 63.3385285,10.51322155 63.33857947,10.51320189 63.33859072,10.51314882 63.33879865,10.51313512 63.33880401,10.51312891 63.33882108,10.51313287 63.33882538,10.51314864 63.33882967,10.51314712 63.33883109,10.51314887 63.33883369,10.51317391 63.3388359,10.51317927 63.33884074,10.51317988 63.33884788,10.51317974 63.33884803,10.51317974 63.33884805,10.51317957 63.33884812,10.51318587 63.33885133,10.51318676 63.33885233,10.51318837 63.33885273,10.51319163 63.33885343,10.51319467 63.33885669,10.51319406 63.33885808,10.51479785 63.33848296,10.51512745 63.33858881,10.51564547 63.33852047,10.51566064 63.33852231,10.51566538 63.33852331,10.51567583 63.33851656,10.51569952 63.33851405,10.51570974 63.33851566,10.51572449 63.33851109,10.51576283 63.33852023,10.51577022 63.33852004,10.51579041 63.33851942,10.51580002 63.3385178,10.51581509 63.33851061,10.51583323 63.33849097,10.5158352 63.33848892,10.52089495 63.33411714,10.52105926 63.33405826,10.52104632 63.33401525,10.52113728 63.33398139,10.52114885 63.3338344)
1	LINESTRING(10.59934074 63.35120952,10.60274612 63.34390219,10.60376332 63.34133978,10.60377399 63.34133006,10.60375394 63.34131458,10.6037109 63.34129802,10.60374644 63.34128708,10.60371748 63.34123365,10.60368219 63.3412211,10.60367087 63.34121478,10.60352339 63.34134605,10.59860373 63.34950661,10.59859857 63.35045702,10.59859676 63.3504582,10.59863912 63.35046795,10.59863859 63.35046946,10.59863679 63.35047073,10.59865138 63.35047359,10.59865248 63.35047332,10.59865392 63.35047496,10.5986556 63.35047622,10.59865637 63.35047838,10.59857309 63.35051943,10.59853229 63.35059972,10.59845703 63.35062424,10.59841002 63.3506316,10.59841524 63.35063547,10.59841256 63.35064339,10.59839326 63.35064115,10.5983777 63.35065816,10.59840103 63.35067805)
2	LINESTRING(10.52797758 63.32221751,10.52529607 63.32248351,10.52484507 63.32235469,10.52451296 63.32251735,10.5244993 63.32252407,10.52450874 63.32252735,10.52450603 63.32253139,10.52450606 63.32253719,10.52451986 63.32254449,10.5245222 63.322554,10.52968485 63.32702338,10.52892959 63.32723499,10.5301891 63.32830887,10.53008952 63.32899265,10.530215 63.32947503,10.53036104 63.32948986,10.53049742 63.32951942,10.53048814 63.32952723,10.53051969 63.3295341,10.530434 63.3295966,10.53043657 63.32962555,10.52926771 63.32888134,10.52878287 63.327971,10.52552103 63.32693226)
3	LINESTRING(10.61276133 63.34128451,10.60421192 63.35051519)
4	LINESTRING(10.38331831 63.38411199,10.38322495 63.38411115,10.3832188 63.38410145,10.38322018 63.38409945,10.38320944 63.38410015,10.3832024 63.38410078,10.38319628 63.38409793,10.38318988 63.38409749,10.38318614 63.38409881,10.38318669 63.38409824,10.38318556 63.38409762,10.38317772 63.38409637,10.37951842 63.38563999,10.3775265 63.39132405,10.37742277 63.39134293,10.37738578 63.39134652,10.37738721 63.39141417)
5	LINESTRING(10.58479089 63.35106562,10.58488637 63.3507738,10.58488455 63.35076101,10.58488991 63.35075062,10.58495112 63.3507219,10.58494923 63.3507019,10.58493781 63.35068998,10.58491022 63.35068272,10.58493582 63.35067018,10.58493985 63.35066409,10.58494185 63.35066274,10.58509051 63.35067724,10.58530377 63.35060764,10.58527024 63.35058713,10.5852086 63.35057228,10.58519425 63.35054147,10.58515877 63.35053331,10.58500666 63.35054273,10.58498972 63.35043085,10.58496954 63.35041589,10.57968011 63.34556974,10.57901184 63.34539867,10.57844319 63.34468865,10.57862038 63.34114129)
6	LINESTRING(10.438462 63.32080771,10.43855549 63.32079378,10.43859435 63.32077614,10.43925209 63.32114657,10.44036852 63.32153773,10.44053291 63.32156866,10.44062033 63.32163681,10.4406419 63.32166277,10.44060916 63.32168706,10.44061589 63.32169303,10.44067505 63.32168742,10.44072539 63.32171732,10.44072329 63.32171828,10.440723 63.32171836,10.44072305 63.32171856,10.4407267 63.32172211,10.44081753 63.32175271,10.44084338 63.32174226,10.44231725 63.32163805,10.4435348 63.32194949,10.44398133 63.32179539,10.44577985 63.32185758,10.44648983 63.32176847,10.45250698 63.32506579,10.45253617 63.32502448,10.45256322 63.32500806,10.45270105 63.32479148,10.4524653 63.32456578,10.45243858 63.32456076,10.45242061 63.32453677,10.4626488 63.31572023,10.46134909 63.31223122,10.46143183 63.31202588,10.46143467 63.31201043,10.46145699 63.31201479,10.46160181 63.3118154,10.46160395 63.31181531,10.46160662 63.31181546)
7	LINESTRING(10.4790542 63.40036783,10.47520533 63.39874473,10.4795686 63.3983603,10.49187716 63.39696476,10.49298072 63.39670188)
8	LINESTRING(10.4386347 63.39378337,10.43848524 63.39386168,10.43847439 63.39387769,10.43841258 63.39387184,10.43118507 63.39661217,10.42890776 63.3996557,10.42898892 63.39973471,10.42893815 63.39977993,10.42848297 63.39987098,10.42853377 63.39990577)
9	LINESTRING(10.51893457 63.35476992,10.51882814 63.35500463,10.51877996 63.35504278,10.51872883 63.35507234,10.51872667 63.35508297,10.51871196 63.35508781,10.51870863 63.35509142,10.52109524 63.35789264,10.52123878 63.35795296,10.52131459 63.35796627,10.52164744 63.35787456,10.52233656 63.35831342,10.52157032 63.35909697,10.52177171 63.35977817,10.52153323 63.36057112,10.52161044 63.36064198,10.52186645 63.36071252,10.52165048 63.36109052,10.52159324 63.36115621,10.52400999 63.36214699,10.52566959 63.36372704)
