id	geometry
0	LINESTRING(10.51630881 63.33257407,10.51914946 63.33114035,10.51898342 63.33124714,10.51394034 63.33814209,10.5134934 63.3384769,10.51332106 63.33852671,10.51346058 63.3386313,10.51317076 63.3387626,10.51314882 63.33879865,10.51313512 63.33880401,10.51312891 63.33882108,10.51313287 63.33882538,10.5131438 63.33882761,10.51314864 63.33882967,10.51314985 63.33883167,10.51317391 63.3388359,10.51317952 63.33884665,10.51317978 63.33884783,10.5131796 63.33884811,10.51317957 63.33884812,10.51319163 63.33885343,10.51319406 63.33885808,10.51460174 63.33847928,10.51479785 63.33848296,10.51569911 63.3385186,10.51570315 63.33851236,10.51571365 63.33851126,10.51572449 63.33851109,10.51577022 63.33852004,10.51577868 63.33851913,10.51578256 63.33851657,10.51580002 63.3385178,10.51604518 63.33844784,10.51610428 63.33843585)
1	LINESTRING(10.60200117 63.34482122,10.60274612 63.34390219,10.60376332 63.34133978,10.60377568 63.34132771,10.60375394 63.34131458,10.6037109 63.34129802,10.60374644 63.34128708,10.60371748 63.34123365,10.603673 63.34121477,10.60366622 63.34120964,10.60352339 63.34134605,10.59860629 63.35042668,10.59859857 63.35045702,10.59860175 63.3504654,10.59863912 63.35046795,10.59863859 63.35046946,10.59863679 63.35047073,10.59865138 63.35047359,10.59865248 63.35047332,10.59865706 63.35047549,10.5986556 63.35047622,10.59865637 63.35047838,10.59855713 63.35055289,10.59853229 63.35059972,10.59845703 63.35062424,10.59841002 63.3506316,10.59841524 63.35063547,10.59841256 63.35064339,10.59839326 63.35064115,10.5983777 63.35065816,10.59843044 63.35069241)
2	LINESTRING(10.52885686 63.32292266,10.52797758 63.32221751,10.52543642 63.32239235,10.52529607 63.32248351,10.52484507 63.32235469,10.52445606 63.32242748,10.52451296 63.32251735,10.5244993 63.32252407,10.52450606 63.32253719,10.5245222 63.322554,10.52968485 63.32702338,10.5301891 63.32830887,10.530215 63.32947503,10.53036104 63.32948986,10.53049742 63.32951942,10.53048814 63.32952723,10.53051969 63.3295341,10.53043657 63.32962555,10.52926771 63.32888134,10.52878287 63.327971,10.52552103 63.32693226)
3	LINESTRING(10.61168605 63.34302746,10.60574101 63.34842186,10.60421192 63.35051519)
4	LINESTRING(10.38331831 63.38411199,10.38322495 63.38411115,10.38322018 63.38409945,10.38319628 63.38409793,10.38318988 63.38409749,10.38318614 63.38409881,10.38317772 63.38409637,10.37951842 63.38563999,10.3775265 63.39132405,10.37738578 63.39134652,10.37738721 63.39141417)
5	LINESTRING(10.58489298 63.35088356,10.58488637 63.3507738,10.58488991 63.35075062,10.58495494 63.35069921,10.58493663 63.3506884,10.58494298 63.35063732,10.58526698 63.35060841,10.58531335 63.35060895,10.58531431 63.35055149,10.58515877 63.35053331,10.58500666 63.35054273,10.58496954 63.35041589,10.57862038 63.34114129)
6	LINESTRING(10.44036852 63.32153773,10.44050737 63.32156218,10.44053291 63.32156866,10.44068278 63.32157182,10.44078346 63.3217231,10.44082082 63.32174595,10.44081753 63.32175271,10.44088112 63.32176764,10.44648983 63.32176847,10.45209326 63.32517386,10.45250698 63.32506579,10.45256322 63.32500806,10.45242061 63.32453677,10.45837066 63.31957181,10.46117238 63.31235086,10.46117477 63.31225275,10.46134909 63.31223122,10.46142284 63.31213322,10.46139106 63.31201825,10.46143467 63.31201043,10.46144454 63.31201376,10.46145823 63.31201497,10.46159292 63.31181592,10.46160181 63.3118154,10.46160261 63.31181555,10.46160384 63.3118149,10.46160662 63.31181546)
7	LINESTRING(10.47522002 63.39875056,10.47520533 63.39874473,10.4820785 63.39845551,10.49187716 63.39696476,10.49314311 63.39662228)
8	LINESTRING(10.4386347 63.39378337,10.43841258 63.39387184,10.42896746 63.39962466,10.42890776 63.3996557,10.42902995 63.39975858,10.42890869 63.39984367,10.42848297 63.39987098,10.42853377 63.39990577)
9	LINESTRING(10.5187089 63.35492398,10.51877996 63.35504278,10.5187248 63.3550435,10.51871196 63.35508781,10.51870863 63.35509142,10.51879121 63.35515158,10.51896963 63.35520111,10.52237037 63.35804098,10.52226079 63.35835733,10.52272335 63.35880478,10.52177171 63.35977817,10.52144516 63.35981268,10.52129988 63.35991877,10.52153323 63.36057112,10.52154594 63.36068985,10.52087289 63.36113853,10.52159324 63.36115621,10.52167158 63.36169383,10.52538622 63.36363618,10.52559656 63.36367327,10.52566617 63.36372112,10.52566959 63.36372704)
10	LINESTRING(10.40989802 63.39356748,10.41001469 63.39364894,10.41002733 63.39366934,10.40993801 63.39370682,10.40992432 63.39377242,10.40991915 63.39378662,10.40990649 63.39381842,10.40999584 63.39386852,10.40645676 63.39453395,10.40409689 63.39507432,10.40367554 63.39567516,10.40368406 63.39583781,10.40160859 63.39962448,10.40148471 63.39966493,10.40136517 63.39970147,10.40143462 63.39981882,10.40144363 63.39990041,10.40149933 63.39992709,10.40149616 63.39993557)
11	LINESTRING(10.30798442 63.40598707,10.30794784 63.40632777,10.30788678 63.40651489,10.30799904 63.40670465,10.30838128 63.40621962,10.3080998 63.40592368,10.30822253 63.40571614,10.30815123 63.40564829,10.30807313 63.40478359,10.30809354 63.40478032,10.30816473 63.40481336,10.30821465 63.40483235,10.30822438 63.40484571,10.30825817 63.40515415,10.31609771 63.41338835,10.31615555 63.41353724,10.3163986 63.41361618,10.31392569 63.41378795,10.31207727 63.41300252,10.31142927 63.41307127,10.31103584 63.4129389,10.31067977 63.41288433,10.310612 63.41284976,10.30829257 63.41229855,10.30837199 63.41241354,10.30792136 63.4125443,10.31064287 63.41304768)
12	LINESTRING(10.57788179 63.41247099,10.58364888 63.4193556,10.58412302 63.41989307,10.58399684 63.420407,10.58385899 63.42071327)
13	LINESTRING(10.52011952 63.40953619,10.52854655 63.4161389,10.52876194 63.4162959,10.52888585 63.41661361,10.52878115 63.41690431,10.5288072 63.41693674,10.52874605 63.41726532,10.52869066 63.41740938,10.52872216 63.41756708)
