id	geometry
0	MULTIPOINT((10.64172501 63.31369558),(10.64205771 63.31402783),(10.643375 63.31720172),(10.63869076 63.31600595),(10.6412314 63.31541442),(10.64332606 63.31816941),(10.64324244 63.31580395),(10.64008304 63.31463515),(10.64126258 63.31920899),(10.63788095 63.31359188))
1	MULTIPOINT((10.48574855 63.30129433),(10.48577148 63.29714885),(10.48437758 63.30195287),(10.48271457 63.30136864))
2	MULTIPOINT((10.60543052 63.35901367),(10.60380808 63.35932287),(10.60458914 63.36061264))
3	MULTIPOINT((10.47467613 63.3937877),(10.47793884 63.38979893))
4	MULTIPOINT((10.44313562 63.35529223),(10.44204985 63.35851635),(10.43887985 63.35899636))
5	MULTIPOINT((10.59087693 63.41852215),(10.58957524 63.41777492))
6	MULTIPOINT((10.61023789 63.29187859),(10.60668242 63.29121206),(10.61083637 63.29212481),(10.6195282 63.2918293),(10.61453843 63.29008089),(10.61837284 63.28875415),(10.61694918 63.29056116))
7	MULTIPOINT((10.29137464 63.28917646),(10.29634892 63.28546968),(10.28612546 63.28270792),(10.28792443 63.28276661),(10.29005315 63.28639835),(10.2840481 63.29008114),(10.2974572 63.289189),(10.29031726 63.28512812))
8	MULTIPOINT((10.38871129 63.33268113),(10.39039542 63.33115278),(10.39109279 63.33214174))
9	MULTIPOINT((10.30267861 63.3620958),(10.31129586 63.36566264),(10.30608751 63.36537482),(10.30476935 63.36166024),(10.31569985 63.36297822),(10.31316168 63.3655738),(10.31506939 63.36293346),(10.30255328 63.36209205),(10.30131073 63.35995068))
10	MULTIPOINT((10.37801171 63.34423572),(10.37823549 63.33964452),(10.37601043 63.33876774),(10.37872015 63.34461526),(10.37668589 63.3459028),(10.37815884 63.34057206),(10.37950545 63.34013785),(10.37992413 63.33939002),(10.37932114 63.34435975),(10.37771493 63.34623012))
11	MULTIPOINT((10.42229497 63.34581088),(10.42268561 63.34337469),(10.42175221 63.34748281))
12	MULTIPOINT((10.43085659 63.30208408),(10.42901292 63.29994473),(10.43039984 63.30165288))
13	MULTIPOINT((10.39640246 63.41005694),(10.40400537 63.40546928),(10.40153202 63.40447293),(10.40426049 63.40996024),(10.39302356 63.4100705),(10.40132425 63.40470328))
14	MULTIPOINT((10.29045911 63.36849218),(10.28677251 63.37140548),(10.28646532 63.3681433),(10.29046541 63.37741871),(10.28506995 63.37158774),(10.29241078 63.37664457),(10.28960202 63.37630825),(10.29097145 63.36925436),(10.28899737 63.36861608))
15	MULTIPOINT((10.37900664 63.33187791),(10.37481417 63.33171468),(10.37761539 63.33193811),(10.375871 63.33142804),(10.37426363 63.3364248),(10.37506981 63.33839744),(10.37613516 63.33739654),(10.37782379 63.3359212),(10.37492053 63.33399974),(10.37524879 63.33660751))
16	MULTIPOINT((10.31321935 63.42575521),(10.31789065 63.42358053))
17	MULTIPOINT((10.50098596 63.30828796),(10.49748997 63.30698659),(10.50120835 63.31170415),(10.49795368 63.31181118),(10.49744747 63.30550429))
18	MULTIPOINT((10.46681986 63.34204123),(10.46608474 63.33983941),(10.46346675 63.34209703),(10.46274369 63.34128294),(10.46485594 63.34119826),(10.45972314 63.33782908),(10.46064619 63.33830128))
