id	geometry
0	POINT(10.44571924 63.38551228)
1	POINT(10.4718431 63.3970265)
2	POINT(10.52245231 63.348862)
3	POINT(10.31401876 63.32198603)
4	POINT(10.42204175 63.38458481)
5	POINT(10.31687636 63.41202912)
6	POINT(10.51798898 63.37412184)
7	POINT(10.44533592 63.3266877)
8	POINT(10.44014626 63.42136269)
9	POINT(10.30493691 63.29905394)
10	POINT(10.34219833 63.39458411)
11	POINT(10.45873005 63.3451494)
12	POINT(10.29585613 63.30375165)
13	POINT(10.6483475 63.32318264)
14	POINT(10.53258516 63.35142467)
15	POINT(10.27176747 63.40829297)
16	POINT(10.50233112 63.31501343)
17	POINT(10.34151906 63.30679806)
18	POINT(10.51407011 63.3482455)
19	POINT(10.62638864 63.35208106)
20	POINT(10.47172104 63.39297453)
21	POINT(10.54044159 63.42220342)
22	POINT(10.65711477 63.37976229)
23	POINT(10.3633548 63.40988733)
24	POINT(10.38907581 63.3396326)
25	POINT(10.4105901 63.29688078)
26	POINT(10.54004245 63.33544408)
27	POINT(10.40369481 63.29170441)
28	POINT(10.39606573 63.3546741)
29	POINT(10.59786458 63.32936913)
30	POINT(10.28861398 63.31245366)
31	POINT(10.62200544 63.35443547)
32	POINT(10.28290039 63.37828065)
33	POINT(10.49683832 63.31778044)
34	POINT(10.32393223 63.34268647)
35	POINT(10.30526592 63.39366432)
36	POINT(10.34116871 63.4247154)
37	POINT(10.36013031 63.39720312)
38	POINT(10.42816939 63.34179904)
39	POINT(10.43571793 63.41558975)
40	POINT(10.31392623 63.33262696)
41	POINT(10.43299837 63.3146188)
42	POINT(10.40463986 63.30917252)
43	POINT(10.58109138 63.37436876)
44	POINT(10.6470013 63.39114678)
45	POINT(10.62790746 63.38122733)
46	POINT(10.38853483 63.32779306)
47	POINT(10.49755089 63.28963975)
48	POINT(10.36277147 63.28400486)
49	POINT(10.45405773 63.31176405)
50	POINT(10.45741881 63.42020336)
51	POINT(10.38346777 63.39793943)
52	POINT(10.39469437 63.3042471)
53	POINT(10.51336008 63.33253255)
54	POINT(10.52973112 63.39920339)
55	POINT(10.2804209 63.35769482)
56	POINT(10.2964245 63.37973075)
57	POINT(10.36300438 63.30250248)
58	POINT(10.53397377 63.41217632)
59	POINT(10.55825442 63.34473342)
60	POINT(10.31036222 63.36000649)
61	POINT(10.58622787 63.33843149)
62	POINT(10.6559827 63.29422243)
63	POINT(10.42430772 63.40023924)
64	POINT(10.53271357 63.2914726)
65	POINT(10.46764428 63.30282422)
66	POINT(10.27339722 63.32884421)
67	POINT(10.57219348 63.30414011)
68	POINT(10.60029 63.39827772)
69	POINT(10.56213268 63.42133767)
70	POINT(10.49678292 63.40445107)
71	POINT(10.44186326 63.40231473)
72	POINT(10.35386126 63.31431521)
73	POINT(10.62718141 63.39212808)
74	POINT(10.45998892 63.39111411)
75	POINT(10.42414171 63.41701764)
76	POINT(10.34806074 63.37122563)
77	POINT(10.31135952 63.39429698)
78	POINT(10.62507833 63.34738455)
79	POINT(10.64084127 63.387369)
80	POINT(10.33509118 63.3394209)
81	POINT(10.29379075 63.35652308)
82	POINT(10.33300233 63.41767722)
83	POINT(10.32989247 63.3472862)
84	POINT(10.53737466 63.39331731)
85	POINT(10.53243755 63.31849339)
86	POINT(10.49052218 63.35130738)
87	POINT(10.37144291 63.3514471)
88	POINT(10.51720121 63.34202036)
89	POINT(10.29025623 63.32967529)
90	POINT(10.40623703 63.35005017)
91	POINT(10.37897293 63.38516237)
92	POINT(10.44222281 63.42729408)
93	POINT(10.44869457 63.3946268)
94	POINT(10.56789771 63.29185296)
95	POINT(10.50622588 63.30438336)
96	POINT(10.38202737 63.34906732)
97	POINT(10.32855897 63.29111429)
98	POINT(10.56141221 63.38281961)
99	POINT(10.38649339 63.29592238)
