id	geometry
0	POINT(10.44561621 63.38549126)
1	POINT(10.47153286 63.39884868)
2	POINT(10.52249207 63.34821515)
3	POINT(10.31471832 63.32205543)
4	POINT(10.42171449 63.38450151)
5	POINT(10.31686441 63.41376324)
6	POINT(10.51828313 63.37426873)
7	POINT(10.44541482 63.32592441)
8	POINT(10.44025041 63.42138953)
9	POINT(10.3056043 63.2989268)
10	POINT(10.34116121 63.39534972)
11	POINT(10.45756436 63.3453777)
12	POINT(10.29540586 63.30394018)
13	POINT(10.64671692 63.32323363)
14	POINT(10.53189463 63.35149642)
15	POINT(10.27060021 63.40908947)
16	POINT(10.50189364 63.31344125)
17	POINT(10.34259773 63.30542093)
18	POINT(10.51423889 63.34912785)
19	POINT(10.62666441 63.35033555)
20	POINT(10.47217674 63.39141555)
21	POINT(10.54009005 63.42267187)
22	POINT(10.65773955 63.37801796)
23	POINT(10.36327893 63.40887022)
24	POINT(10.38934149 63.34018348)
25	POINT(10.41143579 63.2963547)
26	POINT(10.53987676 63.33722599)
27	POINT(10.40194402 63.29153149)
28	POINT(10.39505102 63.35552117)
29	POINT(10.59752676 63.32979084)
30	POINT(10.28675112 63.31216677)
31	POINT(10.62275296 63.35592432)
32	POINT(10.28324862 63.3793737)
33	POINT(10.49663451 63.31776165)
34	POINT(10.32291453 63.34184487)
35	POINT(10.30450148 63.39265708)
36	POINT(10.34072892 63.42415999)
37	POINT(10.35975856 63.39841984)
38	POINT(10.42833776 63.34151424)
39	POINT(10.43515181 63.41555283)
40	POINT(10.31378251 63.33235659)
41	POINT(10.43249757 63.31614218)
42	POINT(10.40425703 63.30959483)
43	POINT(10.5814334 63.37480855)
44	POINT(10.64547418 63.39137259)
45	POINT(10.62971696 63.3810244)
46	POINT(10.38757476 63.32760128)
47	POINT(10.49792749 63.2900937)
48	POINT(10.3626377 63.28457498)
49	POINT(10.45566981 63.3109569)
50	POINT(10.45904249 63.41917506)
51	POINT(10.38535966 63.39758648)
52	POINT(10.3936231 63.30540063)
53	POINT(10.51213834 63.33158507)
54	POINT(10.53108544 63.40019202)
55	POINT(10.2811805 63.35725539)
56	POINT(10.29554082 63.38053457)
57	POINT(10.3642381 63.30373318)
58	POINT(10.53515478 63.41134792)
59	POINT(10.55843315 63.34509007)
60	POINT(10.30884825 63.36086174)
61	POINT(10.58593501 63.33844116)
62	POINT(10.65524077 63.29334311)
63	POINT(10.42419845 63.39939457)
64	POINT(10.53434285 63.29159863)
65	POINT(10.46867929 63.30139699)
66	POINT(10.27480568 63.32779973)
67	POINT(10.57240741 63.30601587)
68	POINT(10.60062318 63.39971631)
69	POINT(10.56149925 63.42282667)
70	POINT(10.49586152 63.40424232)
71	POINT(10.44297489 63.40245127)
72	POINT(10.35371466 63.3139073)
73	POINT(10.62667477 63.39262036)
74	POINT(10.45990717 63.39113855)
75	POINT(10.42411881 63.41699276)
76	POINT(10.34797764 63.37086794)
77	POINT(10.31194023 63.39365473)
78	POINT(10.62489121 63.34728467)
79	POINT(10.64102855 63.38720025)
80	POINT(10.33458927 63.33825984)
81	POINT(10.29470801 63.35754712)
82	POINT(10.33340126 63.41768288)
83	POINT(10.32869599 63.34831758)
84	POINT(10.53775895 63.39513483)
85	POINT(10.53265488 63.32004524)
86	POINT(10.48987006 63.35164268)
87	POINT(10.37182612 63.3529899)
88	POINT(10.51732484 63.34117708)
89	POINT(10.29025995 63.3313083)
90	POINT(10.40486428 63.34956122)
91	POINT(10.37971959 63.38485528)
92	POINT(10.44241251 63.42658785)
93	POINT(10.44840737 63.39419834)
94	POINT(10.56907858 63.29113542)
95	POINT(10.50529811 63.30338976)
96	POINT(10.38195226 63.35040316)
97	POINT(10.32912331 63.29094833)
98	POINT(10.56282591 63.38218802)
99	POINT(10.38549214 63.29538476)
