id	geometry
0	POLYGON((10.40704972 63.37614157,10.40845674 63.37347952,10.40692542 63.37597133,10.40503064 63.37676171,10.40448728 63.37391095,10.4047594 63.37696492,10.40748138 63.37622966,10.40704972 63.37614157),(10.40805363 63.37414134,10.40802616 63.37419097,10.40801644 63.37420114,10.4080156 63.37420638,10.40801097 63.37421201,10.40800226 63.37422222,10.40800574 63.37423578,10.40803799 63.37423419,10.40805532 63.37423619,10.40806236 63.37422224,10.40806383 63.37421668,10.40806738 63.37421208,10.40806924 63.37420839,10.40807625 63.37419711,10.40809092 63.37416936,10.40805363 63.37414134))
1	POLYGON((10.56527484 63.38005298,10.56514674 63.37973533,10.56592892 63.37944443,10.56520364 63.37955197,10.56484847 63.38002416,10.56490946 63.38008077,10.56497062 63.37994762,10.56489286 63.3801681,10.56586861 63.38028155,10.56594897 63.38021701,10.56600572 63.38024794,10.56600572 63.3802046,10.56600572 63.38016536,10.56527484 63.38005298),(10.56518743 63.37958928,10.56517901 63.3795985,10.56517848 63.37959816,10.56517837 63.37959684,10.56517972 63.37959444,10.56518054 63.37958797,10.56517137 63.37959833,10.56517088 63.37959911,10.5651703 63.37959957,10.56516978 63.37959975,10.56516949 63.37959993,10.5651696 63.37960028,10.56516983 63.37960054,10.56516961 63.37960074,10.56516983 63.37960089,10.56516908 63.37960139,10.56516826 63.379602,10.56516802 63.37960288,10.56515314 63.37962681,10.56514907 63.37963126,10.56514199 63.37964839,10.56513611 63.37965614,10.56513301 63.37966136,10.56513093 63.37966391,10.56513007 63.37967151,10.56512133 63.37967519,10.5651429 63.37967888,10.56516492 63.37967884,10.56516942 63.37967872,10.56517273 63.37967872,10.5651732 63.37967883,10.56517423 63.3796788,10.56517553 63.37967887,10.56517583 63.37967876,10.56517668 63.37967859,10.56517745 63.37967866,10.56517805 63.37967855,10.5651792 63.37967871,10.5651824 63.37967873,10.56518423 63.37967862,10.56518497 63.37967775,10.56518377 63.3796768,10.56518382 63.37967613,10.56518504 63.37967485,10.56518602 63.37967389,10.5651857 63.37967209,10.56518628 63.3796685,10.56518527 63.37966171,10.56518743 63.37958928),(10.56581074 63.38016036,10.56581068 63.38016037,10.56581043 63.3801603,10.56581028 63.38016037,10.56580776 63.38016031,10.56579562 63.38016243,10.56579943 63.38016464,10.56580171 63.38016677,10.56580517 63.38017127,10.56581101 63.38017397,10.56580638 63.38017457,10.56579999 63.38017573,10.56579563 63.38017509,10.5657875 63.38016878,10.56577957 63.38017051,10.5657735 63.3801718,10.56576018 63.38017127,10.56576179 63.3801758,10.56575814 63.38017819,10.56576298 63.38018383,10.56576305 63.38018594,10.56576279 63.38018793,10.56575766 63.380193,10.56575451 63.38020126,10.56575889 63.38020318,10.565764 63.38021891,10.5657818 63.38021398,10.56580536 63.38022536,10.56581147 63.38021866,10.56582031 63.38021029,10.56582663 63.38020156,10.56582854 63.38019343,10.5658239 63.3801899,10.56581815 63.38018518,10.56581956 63.38018338,10.56581532 63.38017945,10.56581971 63.38017284,10.56581684 63.38017321,10.56581796 63.38016541,10.56581753 63.38016289,10.56581774 63.38016135,10.56581979 63.38016027,10.56581158 63.38016031,10.5658112 63.38016023,10.56581088 63.38016031,10.56581074 63.38016036),(10.56500263 63.37989566,10.56500247 63.37989581,10.56500247 63.37989593,10.56500238 63.37989594,10.56500233 63.37989599,10.56500233 63.37989601,10.56500236 63.37989605,10.56500236 63.37989609,10.56500232 63.37989612,10.56500245 63.37989614,10.56500222 63.37989637,10.5650016 63.37989738,10.5650019 63.3799009,10.56500411 63.37990243,10.5650093 63.37990264,10.5650148 63.37990389,10.56502436 63.37990401,10.56502576 63.37990138,10.56502884 63.37989929,10.56502506 63.37989566,10.5650225 63.37989393,10.56502191 63.37989157,10.56502463 63.37988487,10.56502286 63.37987617,10.56500994 63.37988282,10.56500263 63.37989566),(10.56521743 63.3797069,10.56523243 63.3797023,10.5652327 63.37970212,10.56523463 63.37970154,10.5652367 63.3797008,10.56524017 63.37969951,10.56526236 63.37969229,10.56526489 63.37969128,10.56526572 63.37969099,10.5652661 63.37969088,10.56526627 63.37969078,10.5652665 63.3796907,10.56526686 63.3796906,10.56526707 63.37969046,10.5652675 63.37969038,10.56526776 63.37969023,10.56526974 63.37968952,10.5652798 63.37968548,10.56527429 63.37968546,10.56527123 63.37968587,10.56526878 63.37968575,10.56526504 63.3796862,10.56526423 63.37968604,10.56526089 63.37968589,10.56525749 63.37968564,10.56525359 63.37968606,10.56522931 63.37968589,10.56519781 63.37968799,10.56519312 63.37969728,10.56519438 63.37970538,10.56519955 63.37971272,10.56521743 63.3797069),(10.56527481 63.38009369,10.56527288 63.3800961,10.56527323 63.38009716,10.56527319 63.38009728,10.56527342 63.38009756,10.56527291 63.38009766,10.56527245 63.38009785,10.56527261 63.38009806,10.5652731 63.3800981,10.56527278 63.38009917,10.56527277 63.38010119,10.56527747 63.38011121,10.56527818 63.38011117,10.5652688 63.38017979,10.56526929 63.38018663,10.56526889 63.38018853,10.56526891 63.38019017,10.56526863 63.38019177,10.56526963 63.38019292,10.56526915 63.38019499,10.56526927 63.38019719,10.56527404 63.38020054,10.56528234 63.38020085,10.56529049 63.38020093,10.56530418 63.38020143,10.56532717 63.38020208,10.56538043 63.38019718,10.56537627 63.38018212,10.56536748 63.3801602,10.56536268 63.38013753,10.56534218 63.38012138,10.56528678 63.38011063,10.56528923 63.38011048,10.56529844 63.38010788,10.56531043 63.380109,10.56532112 63.38010222,10.56532725 63.38009723,10.56530889 63.38009093,10.56528861 63.38009173,10.56528403 63.38009216,10.56527826 63.38009288,10.56527481 63.38009369),(10.565106 63.37972644,10.56510357 63.37973132,10.5651034 63.37972401,10.56508974 63.37974583,10.56508865 63.37974755,10.56508839 63.37974799,10.5650883 63.37974831,10.56508821 63.37974851,10.56508814 63.3797487,10.56508782 63.37974901,10.56508795 63.37974912,10.56508798 63.37974937,10.56508735 63.37975044,10.56508573 63.37975338,10.56508812 63.37975562,10.56509047 63.37975523,10.56509056 63.37975524,10.56509054 63.37975529,10.56509107 63.37975528,10.56509421 63.37975553,10.56509413 63.3797557,10.56509635 63.37975798,10.5650994 63.37975809,10.56510402 63.37975827,10.56510545 63.37975641,10.56510918 63.37975609,10.56511073 63.37974572,10.56511069 63.37974471,10.56511087 63.37974377,10.56511109 63.37974353,10.56511133 63.37974321,10.56511105 63.3797428,10.56511126 63.3797425,10.56511163 63.37974193,10.56511164 63.379741,10.56511127 63.37974061,10.56511136 63.37973704,10.565106 63.37972644),(10.56545872 63.37951896,10.56545734 63.37951893,10.56545469 63.37951956,10.56544756 63.37952442,10.56545997 63.37952877,10.56546143 63.37952091,10.56546273 63.37951973,10.56546393 63.37951759,10.56545872 63.37951896))
2	POLYGON((10.38465598 63.36358365,10.38104009 63.36440342,10.38249714 63.36633729,10.38103265 63.36596731,10.38232162 63.36667088,10.38290556 63.36900842,10.38521356 63.36628633,10.38550892 63.36596942,10.38465598 63.36358365),(10.3831386 63.36562218,10.38305048 63.36562249,10.38299082 63.36564127,10.38298901 63.36564094,10.3829563 63.36563625,10.3829147 63.36563909,10.38285962 63.36565262,10.38284187 63.36566965,10.3828239 63.36568378,10.38281155 63.36569771,10.38281109 63.36569786,10.38281116 63.36569815,10.38280618 63.36570378,10.38281995 63.36573609,10.38282256 63.36574311,10.3828289 63.36576813,10.38282579 63.36580695,10.38284424 63.36583125,10.382845 63.36583168,10.38285715 63.36587963,10.38293443 63.36586889,10.38298528 63.36587667,10.3830519 63.36586708,10.38313197 63.3658598,10.38323512 63.36587094,10.38324311 63.365826,10.38327624 63.3658214,10.38328834 63.36566482,10.38327515 63.36565426,10.38328316 63.36562381,10.38323959 63.36562581,10.38323444 63.36562169,10.3831386 63.36562218),(10.3817411 63.36439815,10.38155466 63.36438614,10.38138168 63.36443547,10.38129027 63.3644784,10.38135285 63.36457304,10.38135578 63.36462939,10.3814333 63.36473469,10.38163094 63.3648336,10.3818746 63.36480909,10.38213313 63.36478785,10.38214842 63.36464704,10.38215434 63.3645632,10.38212286 63.36450618,10.38205041 63.36439316,10.38185078 63.36440649,10.3817411 63.36439815),(10.3831671 63.36439194,10.38325994 63.36409469,10.38315399 63.36411493,10.38318376 63.36412096,10.3831636 63.36414854,10.38318517 63.36416661,10.38316498 63.36415066,10.38315857 63.36418729,10.38316527 63.36420381,10.3831671 63.36439194))
3	POLYGON((10.42227622 63.41555277,10.42254677 63.41409873,10.42153695 63.41577731,10.42105981 63.41466847,10.42156231 63.41592373,10.42202777 63.41631803,10.42206649 63.41617656,10.42200398 63.41670039,10.42405575 63.41717361,10.42363127 63.41726454,10.42458042 63.41740851,10.42478307 63.41632635,10.42474833 63.41557687,10.42227622 63.41555277),(10.42231719 63.41520002,10.42231519 63.41523451,10.42231591 63.41523793,10.42231816 63.41523962,10.42231487 63.41524118,10.42231182 63.41524411,10.4223144 63.41524891,10.42232289 63.41524595,10.42232422 63.41524188,10.42232386 63.41524065,10.42232364 63.4152402,10.42232376 63.41524002,10.42232495 63.41523912,10.42232518 63.41523728,10.42231719 63.41520002))
4	POLYGON((10.40514001 63.34456743,10.40432281 63.34447597,10.4038798 63.34463186,10.40356266 63.34478078,10.40386045 63.34494723,10.40428214 63.34674254,10.40494986 63.34704297,10.40546343 63.3466575,10.40688529 63.34686787,10.40659706 63.34525876,10.40652854 63.34512788,10.40681985 63.34503941,10.40645259 63.34447856,10.40606722 63.34434145,10.40540186 63.34444547,10.40514001 63.34456743),(10.40614628 63.34562316,10.40612926 63.34578724,10.40612489 63.34579899,10.40612431 63.34580889,10.40612923 63.3458217,10.40615595 63.34581894,10.40617537 63.34581643,10.40624555 63.34581949,10.40644202 63.34576482,10.4063874 63.34567919,10.40614628 63.34562316))
5	POLYGON((10.58691084 63.34273029,10.58756966 63.34348608,10.58726639 63.34400474,10.5851325 63.3437329,10.58497588 63.34409353,10.58681042 63.34520699,10.58756738 63.34482926,10.5870551 63.34574265,10.58935836 63.34469639,10.58713034 63.34584323,10.59127378 63.34575373,10.59287422 63.3431901,10.59290429 63.34269696,10.59155973 63.3420676,10.58691084 63.34273029),(10.59183143 63.34406485,10.59175289 63.34414912,10.5917377 63.34414218,10.59169948 63.34414349,10.5916226 63.34416451,10.59159058 63.34411619,10.59156264 63.34414191,10.59153693 63.34416278,10.59154115 63.34418966,10.59154588 63.34419853,10.59154223 63.34420595,10.59153106 63.34421174,10.59153489 63.34422315,10.59154018 63.34422792,10.59154797 63.34423952,10.59153687 63.34427765,10.59154624 63.34431231,10.59156397 63.34433808,10.59146852 63.34432668,10.5914662 63.34443967,10.59145842 63.34447691,10.59146062 63.34448652,10.59145518 63.34449071,10.59144835 63.34449689,10.59145219 63.34450298,10.59144861 63.34451281,10.59144212 63.34452783,10.59144022 63.34454828,10.59144538 63.34458545,10.59145772 63.34480254,10.59151746 63.34476353,10.59167075 63.34501649,10.59195919 63.34465149,10.59196815 63.34463301,10.59197476 63.34462077,10.59199237 63.34459621,10.59183143 63.34406485))
6	POLYGON((10.50543781 63.35597422,10.50581905 63.3561915,10.50915789 63.35772019,10.5054869 63.35835424,10.50976794 63.35784581,10.5107393 63.35666444,10.5109374 63.35502596,10.50987184 63.35483718,10.50543781 63.35597422),(10.51081783 63.35526073,10.51077811 63.35522667,10.51068447 63.35520625,10.5104702 63.35515177,10.51043122 63.35518358,10.51039405 63.35524392,10.51048296 63.35529414,10.51040101 63.35533904,10.51041692 63.35538426,10.51055035 63.35539705,10.51067998 63.35539378,10.5107356 63.35538126,10.51078933 63.35537302,10.51083284 63.35536357,10.51084312 63.35533935,10.51084099 63.35532256,10.51083627 63.35531587,10.51084386 63.35531642,10.51085191 63.3553148,10.51085578 63.35531128,10.51085186 63.35530782,10.51085274 63.35530551,10.51085805 63.35530033,10.51086341 63.35529212,10.51086624 63.35527346,10.51087799 63.35523716,10.51081783 63.35526073))
7	POLYGON((10.66762191 63.33764796,10.66763842 63.33773319,10.6683871 63.33708494,10.66762004 63.33775764,10.66763468 63.33777887,10.66761051 63.33776729,10.66764239 63.33778573,10.6676315 63.33780655,10.66763558 63.33781151,10.66763839 63.33780725,10.66763864 63.33781264,10.66763989 63.33781414,10.66764019 63.33781359,10.6676404 63.33781565,10.66763972 63.33781635,10.6676389 63.33781617,10.66763864 63.33781689,10.66764198 63.33782215,10.66764558 63.33782853,10.66764042 63.33783148,10.66763864 63.33781909,10.66763123 63.33782377,10.66764018 63.3378345,10.667633 63.33784294,10.66764203 63.33783766,10.66765085 63.33785788,10.66769498 63.33798786,10.66765954 63.33785374,10.66770613 63.33800522,10.66761113 63.3378938,10.66769335 63.33805314,10.66774786 63.33797941,10.66779138 63.33793821,10.667953 63.33797962,10.66832217 63.33804031,10.66823818 63.33801239,10.66869645 63.33800097,10.66916086 63.33794155,10.66960608 63.33781399,10.66969069 63.33753999,10.66951962 63.33750697,10.66906278 63.33720917,10.66948838 63.33734234,10.66897158 63.33717724,10.67029098 63.33696288,10.66912538 63.33569309,10.66762191 63.33764796),(10.66936555 63.33620939,10.66935247 63.33622582,10.66935455 63.33623508,10.66935377 63.33623714,10.66935213 63.33623968,10.66935257 63.336242,10.66935332 63.33624579,10.66935319 63.33626069,10.6693694 63.33628054,10.66937877 63.33631462,10.66936797 63.33634138,10.66941568 63.33637096,10.66948788 63.33636583,10.66950141 63.33636421,10.66950226 63.33636826,10.66955685 63.33637838,10.66956029 63.33637832,10.66956205 63.33637844,10.66956346 63.33637842,10.66957172 63.3363785,10.66957521 63.33637555,10.669571 63.33637164,10.66957066 63.3363559,10.6695793 63.33635486,10.66957512 63.33631069,10.66956998 63.33624996,10.66944987 63.33621883,10.6694445 63.3362226,10.66941341 63.33622003,10.66937963 63.33622393,10.66936555 63.33620939),(10.66845268 63.33733012,10.66843994 63.33733049,10.66842197 63.33732696,10.6683853 63.33732618,10.66833944 63.33732278,10.66828972 63.33731955,10.66825474 63.33733939,10.66825011 63.33736075,10.66824368 63.33737679,10.66824368 63.33739229,10.66824368 63.33741746,10.66824368 63.33745099,10.66824368 63.33750129,10.66828534 63.33751597,10.66838944 63.33751597,10.6684325 63.33750369,10.66849459 63.33749957,10.66856835 63.33748851,10.66856553 63.33742271,10.66855913 63.33740204,10.66856187 63.33738663,10.66857048 63.33737738,10.66857048 63.33737152,10.66856782 63.3373614,10.66855878 63.33734537,10.66856431 63.3373366,10.66854644 63.33732038,10.66851504 63.33732425,10.66848798 63.33732637,10.66847913 63.33732329,10.66845268 63.33733012),(10.66868905 63.33787257,10.66868367 63.33786232,10.66866524 63.33786759,10.66844622 63.33785032,10.66851949 63.33789116,10.66844382 63.33787017,10.66849237 63.33794603,10.66849317 63.33796955,10.66854971 63.3379407,10.66872262 63.3379366,10.66872019 63.33793413,10.66871867 63.33792843,10.66872337 63.33791017,10.66872185 63.3378942,10.66868905 63.33787257),(10.6692736 63.33612189,10.66919447 63.33623198,10.66918064 63.33622234,10.66919454 63.33622271,10.66917966 63.33621961,10.66917966 63.33621792,10.66918654 63.33621381,10.66918209 63.33621253,10.66917966 63.3362082,10.66919434 63.3361896,10.66918045 63.33617713,10.66916042 63.33619671,10.66915978 63.33621412,10.66915815 63.33621621,10.66915666 63.33621618,10.66915874 63.33621818,10.66915978 63.33621867,10.66915832 63.3362188,10.66915689 63.33621914,10.66915854 63.33621945,10.66915707 63.33622028,10.66915547 63.33622181,10.66915473 63.33622299,10.66915578 63.33622537,10.66915643 63.33623216,10.66916473 63.33624946,10.66918034 63.3362594,10.66917331 63.33628148,10.66917084 63.33631957,10.66919763 63.33636731,10.66932571 63.33636546,10.66932608 63.33630416,10.66931975 63.33628754,10.66932516 63.33626823,10.6692736 63.33612189),(10.66943509 63.33779075,10.66943315 63.33779047,10.66943302 63.33779024,10.66943055 63.33779093,10.66942893 63.33779076,10.66942842 63.33779181,10.66942703 63.3377925,10.66943039 63.33779306,10.66942693 63.33779373,10.66942946 63.33779576,10.6694296 63.3377998,10.66942666 63.33780129,10.66942746 63.33780146,10.66942695 63.33780359,10.66942789 63.3378052,10.66942767 63.33780557,10.66942733 63.33780665,10.66942659 63.33780756,10.66943374 63.33780652,10.66943409 63.33780694,10.66943185 63.33780792,10.66943755 63.33780656,10.66944052 63.33780612,10.66944128 63.33780618,10.66944907 63.33780272,10.66945403 63.33779876,10.66945045 63.33779661,10.66945081 63.33779358,10.66943647 63.33779111,10.66943571 63.33779093,10.66943509 63.33779075),(10.66946127 63.33733377,10.66946124 63.33733376,10.66946115 63.33733374,10.66946091 63.33733367,10.66946117 63.33733379,10.66946126 63.33733382,10.66946126 63.33733382,10.66946127 63.33733382,10.66946127 63.33733382,10.66946127 63.33733382,10.66946128 63.33733382,10.66946128 63.33733382,10.66946128 63.33733383,10.66946129 63.33733383,10.66946135 63.33733385,10.6694616 63.3373339,10.66946134 63.33733382,10.66946131 63.33733382,10.66946131 63.33733381,10.6694613 63.33733381,10.6694613 63.33733381,10.66946129 63.3373338,10.66946127 63.33733377),(10.66785497 63.33740037,10.66783139 63.33742949,10.66782187 63.33744333,10.66782414 63.33744497,10.6678096 63.33745689,10.66780851 63.33746962,10.66779045 63.33748142,10.66783959 63.33748799,10.6678584 63.33748756,10.66786728 63.3374885,10.66787661 63.33748839,10.66788421 63.33748882,10.66790416 63.33748801,10.66791176 63.33748166,10.66791034 63.33747578,10.66790696 63.33746459,10.66790647 63.33744284,10.66788011 63.33740696,10.66790406 63.3373527,10.66790272 63.33734635,10.66789994 63.33734139,10.66790169 63.33733907,10.66790415 63.33733354,10.66790471 63.3373223,10.66788783 63.33733754,10.6678865 63.33733899,10.66788612 63.33733942,10.66788598 63.33733984,10.66788566 63.33734022,10.66788469 63.33734111,10.66787923 63.33734839,10.66787481 63.33739975,10.66786457 63.33738582,10.66785497 63.33740037),(10.66890093 63.33652377,10.66891251 63.3365011,10.66871639 63.33650856,10.6687731 63.33658356,10.66896333 63.33660823,10.66892732 63.33657896,10.66890093 63.33652377))
8	POLYGON((10.48985612 63.40131153,10.48912913 63.40220321,10.48953886 63.40358313,10.4913714 63.40337784,10.49276818 63.40332875,10.49325309 63.40313237,10.49607183 63.40345997,10.49796087 63.40259573,10.49849679 63.40141117,10.49879911 63.39835196,10.49712426 63.39803293,10.49501319 63.3980268,10.49157511 63.39795388,10.48988665 63.39804991,10.48983295 63.3986151,10.48991507 63.3988589,10.48985121 63.39957844,10.49019581 63.39990115,10.49028399 63.40020151,10.49019556 63.40103614,10.48985612 63.40131153),(10.49312558 63.39976306,10.49245407 63.40016408,10.49240422 63.40040958,10.49245851 63.40057973,10.49241445 63.40071069,10.49245121 63.40092145,10.49267448 63.40097755,10.49264476 63.40108273,10.49274211 63.40108117,10.49298888 63.40107772,10.4931112 63.40106855,10.49318385 63.40107501,10.49325156 63.40107671,10.49328418 63.40105954,10.49334569 63.40106386,10.49341851 63.40107562,10.49349561 63.40108089,10.49354751 63.40107317,10.49359095 63.40103364,10.49354437 63.40100535,10.4935415 63.40096587,10.49357111 63.40093996,10.49355636 63.40091497,10.49360046 63.40089336,10.49360262 63.40082233,10.49357629 63.40081247,10.49357926 63.40069018,10.49361005 63.40056846,10.49366294 63.40042445,10.4937304 63.39995983,10.49312558 63.39976306))
9	POLYGON((10.27588676 63.37492959,10.26972987 63.37090701,10.27194802 63.37250264,10.26942455 63.3741886,10.26700372 63.37414992,10.26700372 63.37485187,10.26749435 63.37566525,10.26771279 63.37834139,10.26854281 63.37869318,10.27028075 63.37835584,10.27048527 63.37837639,10.27063958 63.37836811,10.27098961 63.37823341,10.27088586 63.37836811,10.27162373 63.37836811,10.27177845 63.37834908,10.27218868 63.37836811,10.27352412 63.37836811,10.27471669 63.37761919,10.2748428 63.37659388,10.27588676 63.37492959))
